question
안녕하세요 증여세 관련해서 여쭤요 18세 부터 자퇴 후 검정고시로 고등 학력 마치고 바로 사회 나와서 일을 하며 생활 해서 최근 10년간 부모님께 받은 돈은 거의 없습니다 그러다 고시공부를 시작했는데 딱히 저축을 안해둬서 한 해 생활비로 어머니께 약 1500정도를 받았고 이번에 집 구하면서 계약금과 기타 집 수선비등을 제 돈으로 먼저 납부 한 뒤 다시 1000만원 정도를 받았구요 외가쪽에서도 삼촌과 이모가 생활비 하라고 용돈 조금 챙겨주신게 있는데 궁굼한점은 부모가 자녀에게 10년동안 5천 뭐 친족간 얼마 이런식으로 돼있...
안녕하세요 간호학과 복학예정인 학생입니다 다름이아니고 3학년때 실습을 니가기전 예방접종을 맞는데 7/31에 첫 b형간염 1차를 맞았습니다 a형은 항체가 있구요 mmr은 항체검사를 앞두고 있지만 그냥 항체검사 하지말고 맞아라고 하더라고요... 괜찮은 거 맞나요? 1년 복학해야하나요?
2022년에 선택과목이 개편된다면 어떠한 직렬이 인기가 상승하고 하락할까요? 아무래도 세법이있는 세무직이 하락하고 직업상담직과 검찰직이 상승할꺼같은데... 여러분생각은 어떠신가요
코인을 만들었고 프로젝트가 안되서 거래소 상장 불가 또는 상장해도 상폐 수준의 가격. 이렇게 나오면 분명 투자자들이 투자를 하려고 코인을 구매를 하였을때 믿음이 있어서 하였을것 아닙니까? 그런데 코인 개발 목적 달성 실패해서 돈이 날아가면 고소나 소송 이런것들도 충분히 일어날수가 있는데 코인 지금도 수십개씩 쏟아져 나오는데 개발자들이 배짱이 있는건가요 아니면 진짜 좋은 의도로 개발을 하려고 하였으나 모 아니면 도박이라는 마음으로 돈을 투자자들이 건내는건가요? 어느쪽인가요? 둘다겠지요? 실제로 개발 프로잭트...
2019 7 20 아파트2년 전세 만기 두달전 주인이 연장조건으로 전세와 별도로 /15만원 월세 더 원하고 집을 봐야겠다해서 보고감 합의보고 은행가서 전세에 대한 연장신청을 했음 7 20 이후 만나서 다시 전세+15계약을 하기로 했으나 일방적으로 약속취소 7 30 일 만나서 자기들이 살꺼니 15는 받지않겠으니 3개월살고 10월 이사요구 녹취나 서류는 따로 없음 전화상으로 실랑이를 벌임 (저희는 신혼부부인데 전화로 실랑이하는 과정에서 반말과 많이 봐줬다는 식의 인격모독적인 말을 들었습니다 자존심이 상하지만 어떻게 대처를 하는게...
안녕하세요 오프라인 매장 준비중인데요 공급처가 마땅치 않아 인터넷에서 광고를 많이 하는 좋은 제품이 있어 그것을 구매하여 오프라인에서 돈을 더 붙여 판매할 계획인데 그럴경우 그 제품에 승인을 받아야 하거나 해야하는지 나중에 문제가 되지 않을까 해서 걱정입니다ㅠㅠ 대부분 판매할 물건이 인터넷에서 광고를 많이하고 그 제품을 파는곳은 그 사이트 하나라 나중에 문제가 되지는 않을까요??
면접때 자기소개할때 저는 가성비좋은 사람입니다 라는 멘트를 쓰면 별로인가요? 여러분은 어떻게 생각하시나요 효율성이 좋다고 어필하고싶은데 싼맛에 쓴다는 느낌도 들어서요..
"보험 실효 관련하여 몇가지 여쭙겠습니다. 실효가 아닌 보험료 미납상태에서 가입담보에 해당될 시 보험금청구가 가능한지, 보험료 미납이 몇개월이 지속되면 실효가 성립되는지, 실효상태에서 가입한 보험의 담보에 해당될 시 보험금청구가 가능한지, 그리고 실효상태에서 미납보험료를 납입하면 바로 부활이 가능한지, 알려주시면 감사하겠습니다."
사업자로 사는 차량에 개인명의 1%로라도 공동명의로 등록할 수 있나요
제가 통통한 편인데요 한약 다이어트 한의원 이거든요. 면접보러 오라는데 괜찮을지ㅜㅜ
저가 얼마전에 수급자로 확정이됏는데 수급비가 저가아닌 등본상의 보호자앞으로 가내요 어캐해야 제가 받을수잇을가요?
부모님 몰래 렌트카를 빌려서 사고가 났고 사고 보험처리 해서 그 보험처리한 기록이 있는데 그걸 부모님이 아실까요? 몰래해야되는거라 보상종결 문자는 받았습니다 곧 있으면 차 보험 들을껀데 그때 혹시 아실까요?
"안녕하세요! 실손보험 청구할 때, 병원등급에 따른 공제 / 진료비 급여.비급여 공제 / 약값 공제 등등... 각각의 경우에 따른 실손보험환급금 계산(산정)방법에 대해 알려주시길 바랍니다. (참고로, 본인은 2016년 10월에 가입했으며, 외래 통원 25만 / 약처방 5만으로 책정되어 있습니다.) 그리고, 하루동안에 동일한 병원에서 여러 진료과에서 진료를 받았을 때와, 하루동안에 각각 다른 병원에서 여러 진료과에서 진료를 받았을 때의, 실손보험 청구 및 계산에 대해서도 부탁드리겠습니다.(중복여부) 감사합니다."
캐나다 유학예정인데 미국에서 캐나다로 니코틴 포함액상 통관가능한가요??? 관세를 무는지 안무는지도 궁금합니다! 한국의 통관기준은 알겠는데 캐나다의 통관기준을 잘모르겠습니다!!
전세 보증금을 받기 전에 지금살고있는집 전입신고를해서 효력성이 없는거같은데. 전 집주인이 보증금을 계속 미루고 있습니다. 제가 할수 있는방법은 없나요? 2015년7월1일 계약했구요 지금집에 2019년 6월21일날 전입신고를 했습니다. 기다리는거 말고는 제가 할수 있는게 없나요? 아니면 근저당이나 재산압류라도 할수있는건가요?
신재생에너지발전설비기능사가 되고싶은데 질문에 답해주세요 학력은 고졸이여도 되나요? 연봉이나 월에 얼마 버나요? 하는 일은 무엇인가요? 어디가서 무시당하는 직업은 아니죠?
제가 17만원을 첨에 빼고 30분 뒤에 3만원을 더 뺐어요! 지금 신용등급 5등급인데 2번 뺀거 다 갚으면 등급 돌아오겠죠....? 기록도 남나요.....?
"대게 도매상에서 물건을 수입할때는 부가세를 지불하고, 부가세 신고를 하잖아요. 그런데, 어떤 판매자가 창고정리 물건을 내놓아서, 대량으로 구입했을 경우.. 판매자가 부가세를 발급해줄 수 없는 경우 (이미 사업자 폐기) 어떻게 세금 처리를 할 수 있는지요? 그리고, 세금계산서를 발급할 수 있는 상태라면.. 물건이 종류가 많고 다양한데, 일괄적으로 창고정리 금액을 적어서 발급할 수 있는지요?"
"소방 특채가아닌 공채 시험보려하는데, 해기사3급을 가지고있거든요? 소방에 아무 관련 없는 해기사인데 가산점을 5%나 준다하는데 왜그런가요..? 5% 주는게 맞나요?"
한국장학재단에서 등록금 대출 말고 생활비 대출만 받고싶은데요 일단 지금 심사중인데 꼭 등록금 대출을 받아야지만 생활비 대출을 받을 수 있나요? 그게 아니고 생활비 대출만 받을 수 있다면 최대 얼마까지 받을 수 있는지 궁금합니다 150만원이라고 알고있는데요 아까 50만원으로 바뀌었다는 답변을 봐서 질문 남겨요
토지세 계산 재산세에서요 토지넓이 m^2 표준시공시지가 개별공시지가 1. 이 셋만 있으면 되나요? 그리고 여기에서 이걸로 2. 토지세 계산하는 공식을 알려주세요
